path_count,dt,avg,std,time
15,0.00800,0.52,0.45,118
15,0.00900,0.53,0.29,94
15,0.01000,0.55,0.31,102
15,0.01100,0.48,0.20,93
15,0.01200,0.65,0.37,94
15,0.01300,0.55,0.23,87
15,0.01400,0.66,0.44,99
15,0.01500,0.52,0.24,92
15,0.01600,0.53,0.20,86
15,0.01700,0.57,0.33,86
15,0.01800,0.50,0.21,85
15,0.01900,0.69,0.42,93
15,0.02000,0.71,0.49,93
16,0.00100,0.19,0.11,184
16,0.00200,0.25,0.13,142
16,0.00300,0.33,0.17,135
16,0.00400,0.30,0.15,110
16,0.00500,0.29,0.14,126
16,0.00600,0.46,0.28,152
16,0.00700,0.40,0.17,102
16,0.00800,0.44,0.22,110
16,0.00900,0.53,0.34,117
16,0.01000,0.52,0.32,109
16,0.01100,0.49,0.25,110
16,0.01200,0.56,0.27,118
16,0.01300,0.48,0.28,101
16,0.01400,0.62,0.45,102
16,0.01500,0.78,0.48,109
16,0.01600,0.52,0.21,92
16,0.01700,0.58,0.29,117
16,0.01800,0.53,0.20,102
16,0.01900,0.66,0.38,101
16,0.02000,0.63,0.31,101
17,0.00100,0.19,0.10,185
17,0.00200,0.27,0.16,176
17,0.00300,0.37,0.38,232
17,0.00400,0.38,0.31,160
17,0.00500,0.38,0.20,127
17,0.00600,0.33,0.17,110
17,0.00700,0.41,0.29,109
17,0.00800,0.53,0.33,102
17,0.00900,0.42,0.16,94
17,0.01000,0.48,0.25,110
17,0.01100,0.39,0.16,101
17,0.01200,0.62,0.27,100
17,0.01300,0.56,0.30,101
17,0.01400,0.48,0.21,103
17,0.01500,0.56,0.29,101
17,0.01600,0.59,0.39,101
17,0.01700,0.66,0.47,101
17,0.01800,0.56,0.31,102
17,0.01900,0.66,0.32,102
17,0.02000,0.74,0.50,94
18,0.00100,0.23,0.11,192
18,0.00200,0.26,0.08,142
18,0.00300,0.27,0.19,142
18,0.00400,0.35,0.15,118
18,0.00500,0.37,0.24,134
18,0.00600,0.46,0.32,118
18,0.00700,0.39,0.22,101
18,0.00800,0.52,0.40,137
18,0.00900,0.51,0.29,109
18,0.01000,0.40,0.26,109
18,0.01100,0.53,0.27,101
18,0.01200,0.55,0.28,101
18,0.01300,0.42,0.21,101
18,0.01400,0.51,0.27,109
18,0.01500,0.62,0.44,102
18,0.01600,0.66,0.31,112
18,0.01700,0.57,0.44,101
18,0.01800,0.65,0.33,110
18,0.01900,0.74,0.51,101
18,0.02000,0.77,0.61,101
19,0.00100,0.25,0.15,265
19,0.00200,0.27,0.15,144
19,0.00300,0.33,0.18,152
19,0.00400,0.30,0.16,117
19,0.00500,0.39,0.20,142
19,0.00600,0.47,0.27,126
19,0.00700,0.46,0.22,143
19,0.00800,0.41,0.14,110
19,0.00900,0.56,0.25,110
19,0.01000,0.53,0.36,110
19,0.01100,0.64,0.40,102
19,0.01200,0.37,0.16,94
19,0.01300,0.58,0.35,102
19,0.01400,0.59,0.35,118
19,0.01500,0.57,0.30,101
19,0.01600,0.60,0.29,101
19,0.01700,0.66,0.34,101
19,0.01800,0.75,0.42,102
19,0.01900,0.68,0.49,101
19,0.02000,0.68,0.44,94
20,0.00100,0.23,0.11,193
20,0.00200,0.30,0.24,218
20,0.00300,0.31,0.14,151
20,0.00400,0.42,0.23,135
20,0.00500,0.50,0.31,150
20,0.00600,0.31,0.15,110
20,0.00700,0.54,0.32,136
20,0.00800,0.42,0.35,134
20,0.00900,0.39,0.22,103
20,0.01000,0.48,0.22,114
20,0.01100,0.60,0.40,129
20,0.01200,0.47,0.25,102
20,0.01300,0.61,0.37,102
20,0.01400,0.63,0.43,110
20,0.01500,0.55,0.26,101
20,0.01600,0.77,0.45,110
20,0.01700,0.87,0.60,103
20,0.01800,0.66,0.51,95
20,0.01900,0.65,0.49,110
20,0.02000,0.72,0.32,101
21,0.00100,0.23,0.15,232
21,0.00200,0.25,0.10,144
21,0.00300,0.42,0.30,201
21,0.00400,0.39,0.17,120
21,0.00500,0.36,0.14,128
21,0.00600,0.47,0.27,110
21,0.00700,0.43,0.19,119
21,0.00800,0.49,0.32,102
21,0.00900,0.45,0.23,127
21,0.01000,0.63,0.45,102
21,0.01100,0.67,0.49,127
21,0.01200,0.57,0.33,121
21,0.01300,0.46,0.20,114
21,0.01400,0.53,0.29,101
21,0.01500,0.61,0.33,102
21,0.01600,0.55,0.34,110
21,0.01700,0.67,0.66,150
21,0.01800,0.76,0.59,101
21,0.01900,0.48,0.25,102
21,0.02000,0.72,0.54,102
22,0.00100,0.20,0.08,168
22,0.00200,0.33,0.19,184
22,0.00300,0.32,0.11,150
22,0.00400,0.33,0.18,126
22,0.00500,0.34,0.17,119
22,0.00600,0.54,0.44,143
22,0.00700,0.39,0.16,102
22,0.00800,0.39,0.24,110
22,0.00900,0.36,0.18,102
22,0.01000,0.61,0.32,111
22,0.01100,0.69,0.46,111
22,0.01200,0.53,0.35,109
22,0.01300,0.66,0.40,110
22,0.01400,0.59,0.34,118
22,0.01500,0.46,0.21,94
22,0.01600,0.58,0.37,94
22,0.01700,0.62,0.35,95
22,0.01800,0.71,0.59,110
22,0.01900,0.54,0.30,101
22,0.02000,0.64,0.38,110
23,0.00100,0.30,0.18,291
23,0.00200,0.26,0.16,168
23,0.00300,0.25,0.09,126
23,0.00400,0.34,0.18,110
23,0.00500,0.33,0.21,127
23,0.00600,0.35,0.14,118
23,0.00700,0.31,0.10,101
23,0.00800,0.44,0.31,127
23,0.00900,0.50,0.34,102
23,0.01000,0.51,0.29,110
23,0.01100,0.53,0.32,101
23,0.01200,0.41,0.17,110
23,0.01300,0.65,0.34,110
23,0.01400,0.66,0.37,117
23,0.01500,0.68,0.52,111
23,0.01600,0.51,0.30,118
23,0.01700,0.64,0.36,111
23,0.01800,0.64,0.28,102
23,0.01900,0.62,0.44,101
23,0.02000,0.53,0.24,101
24,0.00100,0.32,0.18,282
24,0.00200,0.27,0.18,184
24,0.00300,0.32,0.16,150
24,0.00400,0.44,0.21,140
24,0.00500,0.36,0.19,127
24,0.00600,0.43,0.26,144
24,0.00700,0.37,0.16,102
24,0.00800,0.49,0.25,118
24,0.00900,0.58,0.35,118
24,0.01000,0.49,0.37,126
24,0.01100,0.50,0.29,120
24,0.01200,0.49,0.26,112
24,0.01300,0.60,0.30,110
24,0.01400,0.72,0.39,111
24,0.01500,0.59,0.34,119
24,0.01600,0.62,0.31,102
24,0.01700,0.66,0.49,118
24,0.01800,0.55,0.28,110
24,0.01900,0.61,0.36,110
24,0.02000,0.89,0.62,109
25,0.00100,0.26,0.17,315
25,0.00200,0.28,0.16,160
25,0.00300,0.34,0.23,168
25,0.00400,0.38,0.39,209
25,0.00500,0.35,0.28,160
25,0.00600,0.45,0.28,126
25,0.00700,0.53,0.29,117
25,0.00800,0.56,0.42,126
25,0.00900,0.41,0.23,112
25,0.01000,0.54,0.32,127
25,0.01100,0.50,0.30,110
25,0.01200,0.55,0.23,110
25,0.01300,0.45,0.19,101
25,0.01400,0.63,0.31,102
25,0.01500,0.78,0.44,118
25,0.01600,0.63,0.36,101
25,0.01700,0.54,0.26,101
25,0.01800,0.68,0.40,95
25,0.01900,0.69,0.37,103
25,0.02000,0.64,0.46,110
26,0.00100,0.25,0.18,290
26,0.00200,0.28,0.18,192
26,0.00300,0.35,0.17,143
26,0.00400,0.33,0.17,127
26,0.00500,0.45,0.26,135
26,0.00600,0.42,0.25,128
26,0.00700,0.55,0.29,123
26,0.00800,0.60,0.31,121
26,0.00900,0.69,0.39,127
26,0.01000,0.52,0.28,126
26,0.01100,0.56,0.39,109
26,0.01200,0.52,0.26,110
26,0.01300,0.49,0.25,110
26,0.01400,0.58,0.49,102
26,0.01500,0.55,0.28,94
26,0.01600,0.68,0.41,101
26,0.01700,0.60,0.42,111
26,0.01800,0.48,0.20,102
26,0.01900,0.72,0.46,118
26,0.02000,0.57,0.21,101
27,0.00100,0.19,0.09,183
27,0.00200,0.29,0.15,159
27,0.00300,0.33,0.22,176
27,0.00400,0.32,0.16,117
27,0.00500,0.31,0.13,118
27,0.00600,0.46,0.28,134
27,0.00700,0.44,0.27,127
27,0.00800,0.44,0.24,119
27,0.00900,0.59,0.33,110
27,0.01000,0.46,0.23,110
27,0.01100,0.43,0.30,110
27,0.01200,0.66,0.38,126
27,0.01300,0.61,0.40,110
27,0.01400,0.53,0.29,126
27,0.01500,0.75,0.48,128
27,0.01600,0.62,0.34,110
27,0.01700,0.63,0.50,126
27,0.01800,0.72,0.51,126
27,0.01900,0.71,0.61,144
27,0.02000,0.78,0.45,109
28,0.00100,0.26,0.15,248
28,0.00200,0.32,0.19,201
28,0.00300,0.34,0.21,146
28,0.00400,0.38,0.23,145
28,0.00500,0.48,0.21,127
28,0.00600,0.46,0.27,152
28,0.00700,0.38,0.16,118
28,0.00800,0.43,0.28,126
28,0.00900,0.44,0.25,118
28,0.01000,0.60,0.52,127
28,0.01100,0.50,0.24,128
28,0.01200,0.54,0.29,112
28,0.01300,0.71,0.47,127
28,0.01400,0.47,0.24,127
28,0.01500,0.59,0.38,119
28,0.01600,0.59,0.32,117
28,0.01700,0.69,0.47,110
28,0.01800,0.79,0.77,127
28,0.01900,0.57,0.28,122
28,0.02000,0.52,0.26,102
29,0.00100,0.30,0.19,348
29,0.00200,0.25,0.10,151
29,0.00300,0.36,0.28,203
29,0.00400,0.44,0.27,138
29,0.00500,0.47,0.36,202
29,0.00600,0.53,0.48,176
29,0.00700,0.44,0.27,127
29,0.00800,0.43,0.22,117
29,0.00900,0.50,0.28,119
29,0.01000,0.46,0.23,113
29,0.01100,0.46,0.27,106
29,0.01200,0.50,0.30,127
29,0.01300,0.56,0.35,119
29,0.01400,0.60,0.50,143
29,0.01500,0.58,0.33,119
29,0.01600,0.53,0.23,111
29,0.01700,0.70,0.44,118
29,0.01800,0.68,0.51,110
29,0.01900,0.60,0.33,111
29,0.02000,0.63,0.40,110
30,0.00100,0.28,0.15,274
30,0.00200,0.25,0.11,151
30,0.00300,0.39,0.29,233
30,0.00400,0.35,0.25,168
30,0.00500,0.40,0.21,159
30,0.00600,0.31,0.15,111
30,0.00700,0.42,0.26,118
30,0.00800,0.45,0.23,109
30,0.00900,0.42,0.18,118
30,0.01000,0.53,0.43,110
30,0.01100,0.42,0.20,102
30,0.01200,0.55,0.36,118
30,0.01300,0.55,0.30,111
30,0.01400,0.60,0.22,111
30,0.01500,0.45,0.19,102
30,0.01600,0.53,0.25,110
30,0.01700,0.60,0.50,118
30,0.01800,0.68,0.33,101
30,0.01900,0.71,0.52,110
30,0.02000,0.55,0.34,110
31,0.00100,0.22,0.13,225
31,0.00200,0.37,0.19,192
31,0.00300,0.37,0.24,151
31,0.00400,0.36,0.20,134
31,0.00500,0.41,0.24,150
31,0.00600,0.41,0.18,127
31,0.00700,0.40,0.20,127
31,0.00800,0.47,0.30,118
31,0.00900,0.53,0.31,127
31,0.01000,0.56,0.39,135
31,0.01100,0.51,0.31,128
31,0.01200,0.58,0.37,143
31,0.01300,0.66,0.44,144
31,0.01400,0.68,0.45,110
31,0.01500,0.64,0.45,116
31,0.01600,0.55,0.41,120
31,0.01700,0.69,0.49,111
31,0.01800,0.65,0.32,111
31,0.01900,0.74,0.49,110
31,0.02000,0.65,0.34,111
32,0.00100,0.23,0.15,281
32,0.00200,0.28,0.15,168
32,0.00300,0.33,0.20,172
32,0.00400,0.43,0.30,167
32,0.00500,0.38,0.16,126
32,0.00600,0.46,0.27,142
32,0.00700,0.44,0.29,150
32,0.00800,0.54,0.35,166
32,0.00900,0.53,0.40,126
32,0.01000,0.56,0.28,127
32,0.01100,0.43,0.21,126
32,0.01200,0.62,0.35,126
32,0.01300,0.55,0.39,126
32,0.01400,0.59,0.46,126
32,0.01500,0.62,0.38,136
32,0.01600,0.47,0.23,127
32,0.01700,0.55,0.32,118
32,0.01800,0.57,0.33,118
32,0.01900,0.58,0.41,110
32,0.02000,0.66,0.36,126
33,0.00100,0.26,0.16,249
33,0.00200,0.34,0.20,233
33,0.00300,0.35,0.28,225
33,0.00400,0.41,0.32,185
33,0.00500,0.36,0.17,135
33,0.00600,0.45,0.34,142
33,0.00700,0.41,0.31,160
33,0.00800,0.43,0.23,151
33,0.00900,0.51,0.37,144
33,0.01000,0.46,0.28,119
33,0.01100,0.48,0.41,127
33,0.01200,0.69,0.53,150
33,0.01300,0.53,0.29,135
33,0.01400,0.61,0.38,119
33,0.01500,0.54,0.30,127
33,0.01600,0.63,0.44,128
33,0.01700,0.62,0.39,113
33,0.01800,0.76,0.55,119
33,0.01900,0.65,0.33,118
33,0.02000,0.63,0.30,126
34,0.00100,0.19,0.10,176
34,0.00200,0.29,0.14,166
34,0.00300,0.34,0.17,151
34,0.00400,0.40,0.26,160
34,0.00500,0.40,0.21,142
34,0.00600,0.45,0.33,143
34,0.00700,0.55,0.43,166
34,0.00800,0.52,0.32,150
34,0.00900,0.50,0.31,118
34,0.01000,0.47,0.24,118
34,0.01100,0.48,0.22,114
34,0.01200,0.50,0.26,119
34,0.01300,0.52,0.27,119
34,0.01400,0.57,0.43,110
34,0.01500,0.64,0.34,127
34,0.01600,0.57,0.33,118
34,0.01700,0.59,0.39,119
34,0.01800,0.69,0.46,136
34,0.01900,0.65,0.47,120
34,0.02000,0.60,0.28,120
35,0.00100,0.22,0.12,251
35,0.00200,0.26,0.14,194
35,0.00300,0.35,0.19,209
35,0.00400,0.42,0.26,202
35,0.00500,0.36,0.18,136
35,0.00600,0.45,0.31,126
35,0.00700,0.53,0.36,127
35,0.00800,0.48,0.33,135
35,0.00900,0.53,0.32,126
35,0.01000,0.59,0.41,142
35,0.01100,0.54,0.32,127
35,0.01200,0.50,0.27,126
35,0.01300,0.58,0.45,119
35,0.01400,0.69,0.43,119
35,0.01500,0.65,0.38,127
35,0.01600,0.62,0.36,118
35,0.01700,0.57,0.37,118
35,0.01800,0.54,0.32,119
35,0.01900,0.66,0.36,118
35,0.02000,0.82,0.66,126
36,0.00100,0.22,0.12,209
36,0.00200,0.25,0.11,176
36,0.00300,0.33,0.17,151
36,0.00400,0.38,0.21,142
36,0.00500,0.43,0.27,134
36,0.00600,0.42,0.24,150
36,0.00700,0.39,0.24,128
36,0.00800,0.46,0.23,127
36,0.00900,0.53,0.26,135
36,0.01000,0.59,0.37,126
36,0.01100,0.56,0.34,158
36,0.01200,0.46,0.26,127
36,0.01300,0.56,0.29,118
36,0.01400,0.77,0.42,128
36,0.01500,0.61,0.41,126
36,0.01600,0.62,0.31,117
36,0.01700,0.63,0.33,118
36,0.01800,0.56,0.28,117
36,0.01900,0.72,0.66,151
36,0.02000,0.70,0.44,126
37,0.00100,0.20,0.13,265
37,0.00200,0.31,0.18,184
37,0.00300,0.42,0.24,176
37,0.00400,0.35,0.22,143
37,0.00500,0.41,0.25,143
37,0.00600,0.51,0.37,142
37,0.00700,0.49,0.34,135
37,0.00800,0.45,0.24,143
37,0.00900,0.63,0.40,143
37,0.01000,0.53,0.42,119
37,0.01100,0.65,0.41,134
37,0.01200,0.57,0.33,144
37,0.01300,0.57,0.36,131
37,0.01400,0.71,0.39,125
37,0.01500,0.58,0.36,116
37,0.01600,0.67,0.51,119
37,0.01700,0.55,0.28,118
37,0.01800,0.64,0.48,126
37,0.01900,0.60,0.48,135
37,0.02000,0.62,0.30,110
38,0.00100,0.24,0.15,340
38,0.00200,0.30,0.16,211
38,0.00300,0.36,0.24,200
38,0.00400,0.41,0.26,159
38,0.00500,0.41,0.24,143
38,0.00600,0.36,0.15,143
38,0.00700,0.39,0.22,127
38,0.00800,0.49,0.32,127
38,0.00900,0.50,0.26,127
38,0.01000,0.54,0.43,159
38,0.01100,0.56,0.37,151
38,0.01200,0.62,0.41,127
38,0.01300,0.48,0.30,143
38,0.01400,0.53,0.32,119
38,0.01500,0.66,0.38,111
38,0.01600,0.65,0.55,140
38,0.01700,0.54,0.27,111
38,0.01800,0.64,0.45,117
38,0.01900,0.56,0.28,119
38,0.02000,0.72,0.52,118
39,0.00100,0.22,0.13,225
39,0.00200,0.27,0.15,161
39,0.00300,0.34,0.19,159
39,0.00400,0.39,0.27,175
39,0.00500,0.41,0.24,134
39,0.00600,0.43,0.26,151
39,0.00700,0.45,0.28,158
39,0.00800,0.50,0.41,159
39,0.00900,0.48,0.23,119
39,0.01000,0.42,0.19,118
39,0.01100,0.45,0.26,119
39,0.01200,0.50,0.30,125
39,0.01300,0.56,0.34,117
39,0.01400,0.58,0.39,117
39,0.01500,0.63,0.28,122
39,0.01600,0.64,0.44,135
39,0.01700,0.51,0.32,118
39,0.01800,0.62,0.50,110
39,0.01900,0.74,0.45,126
39,0.02000,0.69,0.47,134
40,0.00100,0.31,0.24,405
40,0.00200,0.29,0.19,201
40,0.00300,0.48,0.34,242
40,0.00400,0.41,0.29,158
40,0.00500,0.44,0.27,142
40,0.00600,0.40,0.23,135
40,0.00700,0.47,0.37,151
40,0.00800,0.38,0.24,118
40,0.00900,0.46,0.26,127
40,0.01000,0.53,0.35,134
40,0.01100,0.53,0.30,117
40,0.01200,0.47,0.28,134
40,0.01300,0.58,0.45,135
40,0.01400,0.61,0.40,126
40,0.01500,0.60,0.55,134
40,0.01600,0.54,0.30,110
40,0.01700,0.64,0.46,118
40,0.01800,0.73,0.42,109
40,0.01900,0.59,0.30,117
40,0.02000,0.69,0.41,118
41,0.00100,0.26,0.16,265
41,0.00200,0.34,0.25,240
41,0.00300,0.34,0.23,209
41,0.00400,0.39,0.20,143
41,0.00500,0.45,0.37,184
41,0.00600,0.40,0.20,126
41,0.00700,0.41,0.30,167
41,0.00800,0.42,0.20,135
41,0.00900,0.55,0.28,127
41,0.01000,0.49,0.21,118
41,0.01100,0.54,0.32,142
41,0.01200,0.53,0.30,125
41,0.01300,0.62,0.45,125
41,0.01400,0.55,0.32,126
41,0.01500,0.48,0.23,119
